age,sex,allergy,photo,video,desc,mean_grade,com,com_with_photo_video
23,1,1,3,5,5,5,5,1
22,1,1,3,3,4,5,5,3
27,1,1,3,1,4,3,4,5
28,0,1,3,5,4,4,5,3
44,1,1,4,2,3,5,5,4
18,0,1,5,2,2,5,5,4
22,0,0,5,2,5,5,5,5
22,1,1,5,4,4,5,4,4
41,0,1,5,4,4,4,3,2
31,1,0,5,5,5,5,5,3
21,0,1,4,3,4,5,5,3
15,1,1,5,2,2,5,2,2
24,1,1,5,2,4,4,5,1
17,1,1,2,5,2,5,5,5
18,1,0,1,2,5,5,5,4
22,1,0,2,1,4,4,5,3
33,0,1,5,4,5,5,5,5
18,1,1,4,5,4,5,5,5
35,0,1,3,4,5,4,4,2
23,1,1,5,4,3,5,5,4
31,1,0,3,5,3,5,5,3
16,1,1,5,3,1,5,5,5
24,1,1,4,1,4,5,4,5
28,0,0,5,3,4,3,5,3
28,0,0,4,1,2,5,5,5
28,1,0,4,5,3,3,5,5
20,1,1,2,2,3,3,5,4
19,0,1,3,5,5,4,5,3
26,0,1,3,3,3,5,5,5
40,1,1,2,5,4,5,3,5
19,1,0,5,5,3,5,5,4
18,1,1,5,4,5,5,5,4
22,1,1,5,3,5,5,5,5
28,1,1,5,5,4,4,5,4
17,1,1,2,3,2,5,5,5
34,1,1,5,4,1,5,5,1
41,0,1,3,4,3,5,5,5
20,0,0,4,5,5,5,4,5
19,0,1,3,3,1,5,5,5
15,1,1,5,4,5,5,5,4
19,0,1,5,4,3,4,5,5
16,1,1,5,4,2,4,5,5
19,0,1,2,3,3,5,5,4
30,0,1,4,4,3,5,5,3
22,1,1,5,2,3,3,5,4
54,1,0,5,2,2,5,5,5
32,1,0,4,2,2,3,5,3
53,1,0,5,4,2,5,3,5
24,1,1,1,3,3,4,5,3
42,0,1,4,5,5,2,5,4
30,0,0,4,4,3,5,5,5
54,0,0,4,3,5,3,4,5
16,1,0,2,5,4,5,3,3
18,0,1,2,5,2,5,3,4
33,0,1,4,1,5,3,5,5
49,1,1,4,3,3,4,5,2
35,1,0,2,5,5,5,5,5
42,1,1,4,2,2,5,5,5
23,0,1,2,2,2,5,2,5
20,1,1,4,5,5,5,5,3
32,1,1,4,4,2,5,5,4
15,1,0,5,3,4,4,2,4
22,0,0,5,3,1,5,5,2
35,0,1,5,1,3,5,5,5
18,0,0,3,2,4,5,5,5
20,0,0,3,2,3,4,5,5
31,0,0,5,5,4,5,5,4
34,1,0,3,4,3,5,5,5
25,1,1,1,4,5,5,5,5
19,1,0,4,1,4,5,5,5
15,0,0,4,4,1,3,5,3
44,1,1,5,4,5,5,5,5
23,0,1,5,4,3,5,5,4
16,1,1,5,5,5,5,5,5
45,0,1,5,5,5,5,5,3
24,1,1,3,5,4,5,5,5
15,1,1,5,2,4,5,5,5
34,1,1,4,5,4,5,5,4
33,1,1,1,1,3,5,5,3
