age,sex,chronic,doctor,desc,comp,mean_grade,com
66,1,1,5,4,3,4,5
46,1,0,5,3,1,3,5
74,0,0,5,5,3,2,5
21,1,0,5,4,2,5,3
75,1,1,5,4,4,5,5
53,1,0,5,3,2,2,1
47,1,1,5,4,1,5,3
45,1,1,5,5,4,5,3
39,0,1,5,2,3,3,5
65,1,0,5,2,3,3,5
17,1,1,5,2,3,3,3
19,1,0,5,5,4,4,3
54,1,1,5,5,3,3,3
31,1,0,5,5,1,2,2
80,0,1,5,4,1,5,4
75,1,1,5,4,1,3,2
47,0,0,5,3,2,3,5
59,0,1,5,2,5,4,3
58,1,1,5,5,3,4,5
55,0,0,5,5,2,5,2
75,1,1,5,4,2,3,4
58,0,0,5,4,3,3,3
54,1,0,5,5,1,3,3
74,0,1,5,1,5,2,3
78,1,1,5,3,1,3,5
35,1,1,5,2,2,5,5
16,1,0,5,4,1,4,4
18,1,1,5,4,3,5,5
80,1,0,5,2,5,5,5
41,0,1,5,3,1,3,5
60,1,1,5,2,3,2,5
21,0,1,4,4,2,2,1
19,1,1,5,4,2,3,3
15,1,0,5,4,1,3,5
33,1,0,5,3,4,5,5
26,1,1,5,3,2,5,4
29,1,0,5,5,1,4,5
43,1,0,5,4,2,5,5
47,0,1,5,5,2,1,4
40,1,1,5,2,5,4,3
34,1,0,5,5,2,2,4
43,1,1,5,3,4,5,5
27,1,1,5,1,3,5,3
37,1,1,5,4,2,4,5
44,1,0,5,5,3,5,5
19,1,1,4,3,2,5,3
38,1,1,5,5,3,2,5
54,1,1,5,2,4,5,5
50,0,1,3,4,1,4,4
56,1,1,5,4,1,2,1
46,1,1,5,3,1,5,2
60,1,1,5,2,3,5,5
28,0,1,5,5,2,3,5
52,1,1,5,3,2,2,5
52,1,0,5,2,5,5,5
48,1,0,5,2,2,3,5
71,1,0,5,5,3,4,4
31,1,1,5,2,3,5,4
15,0,1,5,5,2,5,1
53,1,0,5,2,4,3,4
74,1,0,5,5,5,4,1
76,0,1,5,4,2,5,5
31,1,0,5,5,2,2,5
77,1,1,4,2,4,5,3
55,1,1,5,5,2,3,5
17,1,1,5,2,1,4,3
45,0,1,5,4,2,3,5
72,0,1,5,4,5,1,5
32,1,1,5,5,2,3,5
43,1,1,5,4,3,5,3
39,0,0,5,4,2,3,1
17,1,1,5,4,4,5,5
16,1,1,5,5,2,3,5
68,1,0,5,5,1,2,4
54,1,1,5,2,5,4,4
41,0,1,5,3,1,4,5
31,1,0,5,3,2,2,5
17,1,1,3,3,3,2,5
40,1,1,5,5,3,4,5
35,1,1,5,5,4,3,5
58,1,1,5,4,2,3,4
49,1,1,5,5,3,4,3
48,1,1,5,3,2,4,5
67,1,0,5,4,2,2,5
52,1,1,5,3,2,2,5
35,1,0,5,5,3,2,3
59,1,0,5,3,4,5,5
64,0,1,5,2,1,3,4
17,0,0,5,4,1,1,2
15,1,1,5,2,2,2,2
55,1,1,5,4,1,5,4
19,1,1,5,2,1,3,4
36,1,0,5,3,3,2,3
21,1,1,5,5,2,3,2
19,1,1,5,1,2,2,5
26,1,0,4,5,1,5,3
68,1,1,5,5,4,2,1
48,1,0,5,5,1,5,4
57,1,1,5,5,2,3,4
24,1,0,5,3,3,3,3
55,1,0,5,5,2,5,5
50,0,1,3,5,1,4,4
54,1,0,5,3,4,3,3
57,1,1,5,5,3,3,2
59,1,0,5,5,3,3,5
26,1,1,5,5,4,5,4
17,1,1,5,5,2,4,5
60,1,1,5,5,3,3,3
71,1,1,5,5,1,5,3
74,1,1,3,3,3,3,5
18,1,1,5,5,3,5,3
37,1,1,5,4,2,2,4
53,1,0,5,5,1,3,3
79,1,1,5,5,5,3,3
54,1,1,4,3,1,5,4
72,0,1,5,3,4,1,3
68,1,1,5,4,3,3,5
43,1,0,5,5,3,5,5
79,1,1,5,2,2,3,4
41,1,1,5,3,3,1,4
43,1,1,5,4,1,1,1
44,1,0,5,4,4,1,5
35,1,1,5,5,1,3,3
74,1,1,5,4,4,1,4
49,1,1,5,5,1,5,5
22,0,1,5,4,2,3,3
15,1,0,5,3,2,2,5
21,0,1,5,4,2,5,4
49,0,1,5,5,4,2,3
57,1,1,5,3,1,3,4
56,1,1,5,1,4,1,3
53,1,1,5,5,5,3,2
21,1,0,5,3,5,5,1
47,1,1,5,2,1,4,5
69,1,1,5,5,2,1,5
22,1,1,5,5,2,3,5
43,1,1,5,5,2,4,5
72,1,0,5,4,2,3,5
48,1,1,5,5,3,4,5
57,1,1,5,2,2,2,3
50,1,1,5,4,2,4,3
29,1,1,5,4,3,1,4
41,0,0,5,1,1,4,3
54,1,0,5,4,5,4,5
41,0,0,5,5,3,5,3
47,0,1,5,4,5,1,4
73,1,0,5,4,3,4,4
56,0,0,5,4,5,4,5
58,0,1,5,2,4,5,3
15,0,1,5,5,3,4,3
50,0,0,5,3,2,5,4
15,0,0,5,3,3,5,2
52,1,1,5,3,4,5,5
34,1,1,3,4,2,4,3
18,1,1,4,3,2,5,5
77,1,1,5,5,1,5,4
71,1,0,5,5,2,2,3
37,1,0,5,3,1,3,5
15,0,0,5,4,2,5,5
24,1,1,5,5,4,3,3
59,0,1,5,3,3,3,1
41,0,1,5,3,1,4,5
36,1,0,5,2,3,1,4
64,1,0,5,3,2,5,5
46,1,1,5,2,1,5,3
74,1,1,5,5,1,5,2
59,1,1,5,4,4,3,3
62,1,1,5,4,2,2,5
79,0,0,5,5,1,3,1
55,1,0,5,4,4,3,4
52,1,0,5,3,3,3,4
64,1,0,5,5,3,3,5
30,1,0,5,5,1,2,5
29,1,0,5,5,5,4,5
75,1,0,5,5,4,3,2
45,1,1,5,3,3,4,3
58,1,1,5,2,3,2,5
27,1,1,5,4,3,4,5
57,1,0,5,5,3,2,5
21,1,0,5,4,1,5,2
52,1,0,5,4,1,3,5
58,1,0,5,4,1,3,3
68,1,1,5,3,3,2,5
36,1,1,5,3,2,5,5
27,1,1,5,1,2,2,5
70,1,0,5,3,3,4,5
39,0,1,5,4,3,5,5
30,0,1,3,3,3,3,2
58,0,1,5,5,4,4,4
21,1,1,5,4,2,5,3
43,1,0,5,2,3,2,5
76,1,0,5,4,2,4,4
57,1,1,5,5,1,3,4
65,1,1,5,4,5,5,4
17,1,1,5,4,1,5,1
52,1,1,5,4,2,5,4
24,1,0,5,4,2,2,5
59,1,0,5,3,5,2,4
15,1,1,5,3,3,4,5
40,1,1,5,4,3,3,3
17,0,1,5,5,3,3,5
53,1,0,5,3,4,5,4
38,1,0,5,5,3,3,5
79,0,1,5,2,2,3,5
41,1,1,5,4,1,3,5
36,1,0,5,3,2,2,4
71,0,0,5,3,1,4,4
54,0,1,5,3,1,5,5
46,1,0,5,4,5,4,5
68,1,1,5,5,3,5,2
49,1,1,5,1,2,1,5
41,1,1,5,5,3,3,3
33,1,1,5,5,3,5,4
56,1,1,4,5,2,2,3
25,0,0,5,5,1,5,4
63,1,1,5,5,2,5,4
36,0,1,5,2,2,3,2
55,1,0,5,3,1,5,3
47,0,1,5,2,2,5,1
50,1,1,5,5,2,3,5
58,1,0,5,3,3,1,3
70,0,0,5,3,2,5,5
58,1,0,5,5,2,4,5
39,1,1,5,3,1,4,3
75,1,0,5,1,4,4,1
21,1,1,5,5,3,5,5
40,1,1,5,4,4,2,2
35,0,0,5,2,3,3,3
59,1,0,5,4,4,2,5
49,0,1,5,5,3,2,5
33,1,0,5,2,2,5,5
35,1,1,5,3,3,2,3
50,1,1,5,3,4,5,2
75,1,0,5,2,1,3,3
75,0,1,5,1,5,2,2
48,1,1,5,4,1,5,2
80,1,1,5,5,3,5,5
48,0,1,5,5,1,2,4
55,1,1,5,5,1,2,5
67,1,0,5,5,1,2,2
32,0,1,5,2,1,3,4
27,1,0,5,5,4,5,3
71,1,1,5,2,2,3,1
46,1,1,4,5,3,4,4
44,1,1,5,2,4,5,5
45,1,1,5,4,3,4,3
39,1,0,5,4,4,4,3
46,1,0,5,5,3,1,5
20,0,1,5,5,3,4,5
59,0,0,5,5,2,2,5
34,1,1,5,2,1,2,4
44,1,1,5,3,2,4,3
29,1,1,5,5,3,5,1
15,0,1,5,5,3,5,3
32,1,0,5,5,2,3,4
66,1,1,5,3,3,2,4
17,1,0,5,3,3,1,3
70,1,1,5,4,3,5,3
52,1,1,5,4,4,4,3
59,1,1,5,3,2,4,5
15,1,0,5,5,3,4,3
54,1,1,4,4,2,3,3
16,0,1,5,2,4,5,5
63,1,0,5,1,3,4,5
28,1,1,5,5,2,3,4
37,0,1,5,5,2,3,5
42,0,1,5,3,2,4,2
55,1,1,3,5,3,5,5
27,1,1,5,3,4,5,4
23,1,1,5,5,4,4,4
66,1,0,5,2,4,3,3
17,0,1,5,3,2,5,5
50,1,0,5,3,4,5,5
65,1,1,5,5,2,3,4
53,0,0,5,3,3,2,3
23,0,1,5,4,3,5,3
37,0,1,5,5,1,2,5
19,1,1,5,2,4,4,5
32,1,0,5,5,2,4,5
41,1,0,5,4,4,4,2
61,1,0,5,4,1,3,5
63,0,1,5,3,4,4,5
60,1,1,5,3,2,2,2
52,1,1,5,4,2,5,4
24,1,0,5,5,2,3,4
60,0,1,5,4,2,5,4
20,1,0,5,5,2,3,5
59,1,0,5,4,2,3,3
57,1,1,5,4,4,3,3
40,0,0,5,4,1,4,5
38,1,1,5,1,3,2,4
20,1,1,4,3,5,3,5
19,1,1,5,3,2,4,5
70,1,1,5,5,2,2,4
67,1,1,5,3,2,2,3
16,1,1,5,5,3,5,4
65,0,0,5,2,2,5,5
21,1,1,5,3,2,4,4
36,1,0,5,5,5,4,3
51,1,1,5,3,2,2,1
15,1,1,5,1,4,5,5
57,1,0,5,4,2,4,5
39,1,1,5,2,1,1,3
17,1,1,5,1,2,4,4
68,0,1,5,2,4,3,5
66,0,0,5,2,2,2,1
23,0,1,5,2,1,2,5
46,1,0,5,2,3,4,4
34,1,0,5,3,4,2,5
52,1,1,5,5,1,2,3
49,1,1,5,2,2,3,1
61,1,1,5,2,2,3,2
55,0,1,5,4,2,4,4
16,1,0,5,5,3,1,4
29,1,1,5,5,4,4,2
17,1,1,5,3,2,4,5
50,0,0,5,2,2,5,3
61,1,0,5,5,5,4,5
39,1,0,5,3,1,3,4
20,0,0,5,3,2,2,3
67,1,0,5,5,2,5,3
60,1,1,5,5,1,5,4
17,1,1,5,5,3,4,1
70,1,1,5,5,1,3,3
55,0,0,5,3,4,4,3
52,1,1,5,5,1,4,2
73,1,1,5,5,4,4,4
68,0,1,5,2,2,2,4
19,1,0,5,5,1,3,5
25,1,1,5,4,3,4,3
68,1,1,5,3,1,1,3
71,1,1,5,2,2,5,3
26,0,1,5,3,3,5,5
54,1,1,2,2,1,2,4
64,1,1,5,4,3,4,4
35,1,1,5,5,3,5,5
70,0,1,5,4,4,2,5
49,1,1,5,5,5,3,4
57,1,0,5,5,2,2,3
36,1,0,5,4,3,5,3
46,1,0,5,4,2,4,2
37,0,1,5,2,5,5,5
70,0,0,5,5,3,2,3
79,0,0,5,3,2,3,1
74,1,0,5,5,1,4,5
30,1,1,5,3,1,3,4
45,1,1,2,4,1,3,5
44,1,0,5,4,3,5,5
42,0,1,5,5,2,3,2
54,0,0,5,2,5,2,4
63,1,1,5,5,2,3,2
48,1,0,5,3,4,4,3
78,0,1,5,5,1,4,4
66,0,1,5,5,2,3,4
31,0,1,4,4,3,2,2
29,1,1,4,3,2,2,5
58,0,0,5,3,2,5,5
47,1,0,5,4,1,5,3
50,1,1,5,5,4,2,5
55,1,1,5,5,2,4,3
74,1,1,3,5,1,3,5
45,1,1,5,3,4,5,5
71,1,1,5,5,5,5,3
53,0,1,5,4,4,5,5
64,0,1,5,5,2,3,5
53,1,1,5,4,2,2,5
62,0,1,5,5,2,5,3
43,1,0,5,2,4,1,5
65,1,0,5,3,4,4,5
62,0,0,5,2,3,3,5
74,1,0,5,5,4,4,4
60,1,1,5,5,3,5,5
71,0,0,5,3,4,3,1
16,1,0,5,5,1,3,4
39,1,1,5,2,2,5,2
19,0,1,5,3,1,1,5
38,0,0,5,3,2,5,3
46,1,0,5,3,1,4,5
24,1,0,5,4,1,5,4
56,0,1,5,5,2,1,2
51,1,1,5,5,2,4,4
39,1,0,5,5,1,4,5
17,1,0,5,1,2,3,5
73,0,1,5,5,2,3,3
16,0,1,5,2,2,3,1
67,1,0,5,3,2,4,4
78,1,0,5,2,2,4,4
48,0,0,3,4,3,1,5
75,1,0,5,5,5,4,5
65,1,1,5,3,4,5,2
23,1,0,5,5,5,3,5
56,1,1,5,4,2,5,5
52,1,0,5,3,2,4,3
80,1,0,5,1,3,1,1
65,1,1,5,5,1,5,2
49,1,1,2,4,2,4,5
15,1,1,5,4,3,4,2
45,1,1,5,5,2,4,3
45,1,1,5,2,4,5,5
47,1,1,5,5,3,2,4
68,0,1,5,2,1,4,1
58,0,1,5,2,5,2,5
50,1,1,5,4,2,4,2
40,1,1,5,5,2,5,4
35,1,0,5,5,4,5,2
72,1,1,5,3,2,2,2
71,0,1,5,5,2,5,4
44,1,1,5,2,1,4,5
33,1,0,5,2,3,3,1
78,1,0,5,2,2,5,4
51,1,1,5,4,2,5,3
16,1,1,5,4,2,3,5
40,1,0,5,5,3,3,3
69,1,0,5,4,1,5,4
52,1,0,5,4,3,4,3
58,1,1,5,3,3,3,5
46,1,1,1,5,1,5,5
42,1,1,5,3,2,1,2
70,1,0,5,3,1,4,5
51,1,0,5,4,2,4,5
37,1,0,5,3,3,2,5
21,0,0,5,5,4,3,5
45,1,1,5,5,2,5,3
70,0,0,5,4,2,1,5
65,0,1,5,1,2,5,5
18,1,0,5,5,4,4,5
75,0,1,5,3,3,2,3
39,1,0,5,2,3,3,4
17,1,1,5,3,2,4,3
59,1,1,5,4,4,4,4
42,0,1,5,2,2,4,3
29,0,1,5,4,1,4,4
74,1,1,4,2,3,3,2
40,1,0,5,3,2,3,4
47,0,0,5,5,3,2,3
67,1,1,5,3,1,5,3
70,1,1,5,3,3,1,4
49,0,1,5,3,1,2,4
20,0,1,5,2,4,4,3
17,0,1,5,4,2,5,5
46,1,1,5,5,2,5,3
53,1,1,5,4,2,4,5
44,0,1,5,5,3,5,4
74,1,1,5,4,2,3,5
28,1,1,5,3,1,2,2
53,1,0,5,5,3,3,5
39,0,0,3,5,2,4,4
25,0,1,5,2,1,2,4
66,1,0,3,5,2,5,4
43,1,0,5,4,1,5,3
50,1,1,5,5,2,2,4
42,1,0,5,2,1,4,5
79,0,1,5,5,2,4,4
47,0,1,5,2,1,4,5
25,0,0,5,4,2,2,3
56,1,1,5,4,2,3,3
22,0,1,5,5,3,1,5
46,0,0,5,4,2,5,3
41,1,0,5,5,4,4,5
15,0,1,5,5,2,3,5
42,1,1,5,5,2,5,5
36,1,0,5,3,2,5,5
66,1,1,5,5,3,2,2
24,1,1,5,4,4,5,5
35,1,1,5,4,2,3,3
38,1,1,5,5,1,3,4
41,1,1,5,2,3,5,2
67,1,0,5,5,1,5,5
72,1,1,5,5,2,3,3
48,1,0,5,4,2,3,5
67,0,1,5,5,3,2,5
50,1,0,5,2,2,4,2
71,1,0,5,5,3,3,3
73,1,0,5,5,3,3,4
52,1,1,4,5,3,4,3
36,1,0,5,5,1,1,4
54,1,0,5,5,5,2,5
27,1,0,5,5,5,3,2
25,1,0,5,5,3,3,4
79,1,1,5,4,1,1,3
55,1,0,5,2,2,2,5
55,1,1,5,5,1,2,5
21,1,1,5,1,2,2,2
39,1,1,5,5,2,5,3
49,0,1,5,5,1,3,5
77,1,1,5,4,4,5,3
18,0,0,5,5,1,5,3
51,1,1,5,5,1,5,3
78,1,1,5,5,4,2,4
63,1,1,5,4,1,4,2
56,0,1,4,5,1,3,3
18,0,1,5,4,2,3,3
44,1,0,5,5,2,3,5
52,1,1,5,2,1,4,4
58,0,1,5,5,2,3,2
31,1,1,5,3,2,3,2
